stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
79980,79980,"51st Ave S & S 160th St (SB)",,47.459119,-122.270544,24,0
73167,73167,"NE 51st St & 148th Ave NE (EB)",,47.654919,-122.142112,19,0
40828,40828,"53rd Ave S & S 144th St (NB)",,47.47399,-122.267828,24,0
79960,79960,"53rd Ave S & Klickitat Dr (SB)",,47.46059,-122.267869,24,0
18770,18770,"NW 54th St & NW Market St (WB)",,47.668325,-122.395247,21,0
18090,18090,"NW 54th St & 30th Ave NW (EB)",,47.667705,-122.396552,21,0
37840,37840,"55th Ave NE & NE 68th St (SB)",,47.677376,-122.268915,21,0
37830,37830,"55th Ave NE & NE 70th St (SB)",,47.679179,-122.268971,21,0
37820,37820,"55th Ave NE & NE 73rd St (SB)",,47.681174,-122.269004,21,0
39510,39510,"55th Ave SW & SW Charlestown St (SB)",,47.570017,-122.402841,21,0
39466,39466,"55th Ave SW & SW Charlestown St (NB)",,47.570256,-122.402838,21,0
39465,39465,"55th Ave SW & SW Andover St (NB)",,47.568713,-122.40286,21,0
39520,39520,"55th Ave SW & SW Andover St (SB)",,47.568393,-122.402823,21,0
39530,39530,"55th Ave SW & SW Dakota St (SB)",,47.5668,-122.402833,21,0
39464,39464,"55th Ave SW & SW Dakota St (NB)",,47.566937,-122.402835,21,0
39540,39540,"55th Ave SW & SW Genesee St (SB)",,47.565164,-122.402856,21,0
10070,10070,"NE 55th St & 25th Ave NE (WB)",,47.668522,-122.300994,21,0
10460,10460,"NE 55th St & 25th Ave NE (EB)",,47.668519,-122.300229,21,0
10060,10060,"NE 55th St & 27th Ave NE (WB)",,47.668519,-122.298878,21,0
10470,10470,"NE 55th St & 27th Ave NE (EB)",,47.668519,-122.298231,21,0
10050,10050,"NE 55th St & 30th Ave NE (WB)",,47.668517,-122.295456,21,0
10480,10480,"NE 55th St & 30th Ave NE (EB)",,47.668514,-122.29509,21,0
10040,10040,"NE 55th St & 33rd Ave NE (WB)",,47.668511,-122.293023,21,0
10490,10490,"NE 55th St & 33rd Ave NE (EB)",,47.668511,-122.292331,21,0
10030,10030,"NE 55th St & 35th Ave NE (WB)",,47.668508,-122.290532,21,0
10500,10500,"NE 55th St & 35th Ave NE (EB)",,47.668508,-122.29041,21,0
10510,10510,"NE 55th St & 36th Ave NE (EB)",,47.668508,-122.288815,21,0
10020,10020,"NE 55th St & 37th Ave NE (WB)",,47.668506,-122.288311,21,0
10010,10010,"NE 55th St & 39th Ave NE (WB)",,47.668506,-122.285674,21,0
55330,55330,"56th Ave S & S Avon St (SB)",,47.501412,-122.262408,21,0
17470,17470,"N 56th St & Keystone Pl N (EB)",,47.66873,-122.332658,21,0
